SPORT;EVENT;MEDALIST;MEDAL
Fencing;Women's Foil Individual;DI FRANCISCA Elisa;SILVER
Fencing;Women's Sabre Individual;VELIKAYA Sofya;SILVER
Fencing;Women's Sabre Team;Ukraine;SILVER
Football;Men;Germany;SILVER
Football;Women;Sweden;SILVER
Golf;Men's Individual Stroke Play;STENSON Henrik;SILVER
Golf;Women's Individual Stroke Play;KO Lydia;SILVER
Handball;Men;France;SILVER
Handball;Women;France;SILVER
Hockey;Men;Belgium;SILVER
Hockey;Women;Netherlands;SILVER
Judo;Men -100 kg;GASIMOV Elmar;SILVER
Judo;Men -60 kg;SMETOV Yeldos;SILVER
Judo;Men -66 kg;AN Baul;SILVER
Judo;Men -73 kg;ORUJOV Rustam;SILVER
Judo;Men -81 kg;STEVENS Travis;SILVER
Judo;Men -90 kg;LIPARTELIANI Varlam;SILVER
Judo;Men +100 kg;HARASAWA Hisayoshi;SILVER
Judo;Women -48 kg;JEONG Bokyeong;SILVER
Judo;Women -52 kg;GIUFFRIDA Odette;SILVER
Judo;Women -57 kg;DORJSUREN Sumiya;SILVER
Judo;Women -63 kg;AGBEGNENOU Clarisse;SILVER
Judo;Women -70 kg;ALVEAR Yuri;SILVER
Judo;Women -78 kg;TCHEUMEO Audrey;SILVER
Judo;Women +78 kg;ORTIZ Idalys;SILVER
Marathon Swimming;Men's 10km;GIANNIOTIS Spiros;SILVER
Marathon Swimming;Women's 10km;BRUNI Rachele;SILVER
Modern Pentathlon;Men's Individual;TYMOSHCHENKO Pavlo;SILVER
Modern Pentathlon;Women's Individual;CLOUVEL Elodie;SILVER
Rhythmic Gymnastics;Group All-Around;Spain;SILVER
Rhythmic Gymnastics;Individual All-Around;KUDRYAVTSEVA Yana;SILVER
Rowing;Lightweight Men's Double Sculls;O'Donovan / O'Donovan;SILVER
Rowing;Lightweight Men's Four;Denmark;SILVER
Rowing;Lightweight Women's Double Sculls;Jennerich / Obee;SILVER
Rowing;Men's Double Sculls;Griskonis / Ritter;SILVER
Rowing;Men's Eight;Germany;SILVER
Rowing;Men's Four;Australia;SILVER
Rowing;Men's Pair;Keeling / Brittain;SILVER
Rowing;Men's Quadruple Sculls;Australia;SILVER
Rowing;Men's Single Sculls;MARTIN Damir;SILVER
Rowing;Women's Double Sculls;Grainger / Thornley;SILVER
Rowing;Women's Eight;Great Britain;SILVER
Rowing;Women's Pair;Behrent / Scown;SILVER
Rowing;Women's Quadruple Sculls;Netherlands;SILVER
Rowing;Women's Single Sculls;STONE Genevra;SILVER
Rugby Sevens;Men;Great Britain;SILVER
Rugby Sevens;Women;New Zealand;SILVER
Sailing;470 Men;Belcher / Ryan;SILVER
Sailing;470 Women;Aleh / Powrie;SILVER
Sailing;49er FX Women;Maloney / Meech;SILVER
Sailing;49er Men;Outteridge / Jensen;SILVER
Sailing;Finn Men;ZBOGAR Vasilij;SILVER
Sailing;Laser Men;STIPANOVIC Tonci;SILVER
Sailing;Laser Radial Women;MURPHY Annalise;SILVER
Sailing;Nacra 17 Mixed;Darmanin / Waterhouse;SILVER
Sailing;RS:X Men;DEMPSEY Nick;SILVER
Sailing;RS:X Women;CHEN Peina;SILVER
Shooting;10m Air Pistol Men;WU Felipe Almeida;SILVER
Shooting;10m Air Pistol Women;BATSARASHKINA Vitalina;SILVER
Shooting;10m Air Rifle Men;KULISH Serhiy;SILVER
Shooting;10m Air Rifle Women;DU Li;SILVER
Shooting;25m Pistol Women;KARSCH Monika;SILVER
Shooting;25m Rapid Fire Pistol Men;QUIQUAMPOIX Jean;SILVER
Shooting;50m Pistol Men;HOANG Xuan Vinh;SILVER
Shooting;50m Rifle 3 Positions Men;KAMENSKIY Sergey;SILVER
Shooting;50m Rifle 3 Positions Women;ZHANG Binbin;SILVER
Shooting;50m Rifle Prone Men;KIM Jonghyun;SILVER
Shooting;Double Trap Men;INNOCENTI Marco;SILVER
Shooting;Skeet Men;SVENSSON Marcus;SILVER
Shooting;Skeet Women;CAINERO Chiara;SILVER
Shooting;Trap Men;PELLIELO Giovanni;SILVER
Shooting;Trap Women;ROONEY Natalie;SILVER
Swimming;Men's 100m Backstroke;XU Jiayu;SILVER
Swimming;Men's 100m Breaststroke;VAN DER BURGH Cameron;SILVER
Swimming;Men's 100m Butterfly;PHELPS Michael;SILVER
Swimming;Men's 100m Butterfly;CSEH Laszlo;SILVER
Swimming;Men's 100m Butterfly;LE CLOS Chad Guy Bertrand;SILVER
Swimming;Men's 100m Freestyle;TIMMERS Pieter;SILVER
Swimming;Men's 1500m Freestyle;JAEGER Connor;SILVER
Swimming;Men's 200m Backstroke;LARKIN Mitchell;SILVER
Swimming;Men's 200m Breaststroke;PRENOT Josh;SILVER
Swimming;Men's 200m Butterfly;SAKAI Masato;SILVER
Swimming;Men's 200m Freestyle;LE CLOS Chad Guy Bertrand;SILVER
Swimming;Men's 200m Individual Medley;HAGINO Kosuke;SILVER
Swimming;Men's 4 x 100m Freestyle Relay;France;SILVER
Swimming;Men's 4 x 100m Medley Relay;Great Britain;SILVER
Swimming;Men's 4 x 200m Freestyle Relay;Great Britain;SILVER
Swimming;Men's 400m Freestyle;SUN Yang;SILVER
Swimming;Men's 400m Individual Medley;KALISZ Chase;SILVER
Swimming;Men's 50m Freestyle;MANAUDOU Florent;SILVER
Swimming;Women's 100m Backstroke;BAKER Kathleen;SILVER
Swimming;Women's 100m Breaststroke;EFIMOVA Yulia;SILVER
Swimming;Women's 100m Butterfly;OLEKSIAK Penny;SILVER
Swimming;Women's 200m Backstroke;HOSSZU Katinka;SILVER
Swimming;Women's 200m Breaststroke;EFIMOVA Yulia;SILVER
Swimming;Women's 200m Butterfly;GROVES Madeline;SILVER
Swimming;Women's 200m Freestyle;SJOSTROM Sarah;SILVER
Swimming;Women's 200m Individual Medley;O'CONNOR Siobhan-Marie;SILVER
Swimming;Women's 4 x 100m Freestyle Relay;United States;SILVER
Swimming;Women's 4 x 100m Medley Relay;Australia;SILVER
Swimming;Women's 4 x 200m Freestyle Relay;Australia;SILVER
Swimming;Women's 400m Freestyle;CARLIN Jazz;SILVER
Swimming;Women's 400m Individual Medley;DIRADO Madeline;SILVER
Swimming;Women's 50m Freestyle;MANUEL Simone;SILVER
Swimming;Women's 800m Freestyle;CARLIN Jazz;SILVER
Synchronised Swimming;Duets;Huang / Sun;SILVER
Synchronised Swimming;Teams;China;SILVER
Table Tennis;Men's Singles;ZHANG Jike;SILVER
Table Tennis;Men's Team;Japan;SILVER
Table Tennis;Women's Singles;LI Xiaoxia;SILVER
Table Tennis;Women's Team;Germany;SILVER
Taekwondo;Men -58kg;HANPRAB Tawin;SILVER
Taekwondo;Men -68kg;DENISENKO Alexey;SILVER
Taekwondo;Men -80kg;MUHAMMAD Lutalo;SILVER
Taekwondo;Men +80kg;ISSOUFOU ALFAGA Abdoulrazak;SILVER
Taekwondo;Women -49kg;BOGDANOVIC Tijana;SILVER
Taekwondo;Women -57kg;CALVO GOMEZ Eva;SILVER
Taekwondo;Women -67kg;NIARE Haby;SILVER
Taekwondo;Women +67kg;ESPINOZA ESPINOZA Maria del Rosario;SILVER
Tennis;Men's Doubles;Mergea / Tecau;SILVER
Tennis;Men's Singles;DEL POTRO Juan Martin;SILVER
Tennis;Mixed Doubles;Williams / Ram;SILVER
Tennis;Women's Doubles;Bacsinszky / Hingis;SILVER
Tennis;Women's Singles;KERBER Angelique;SILVER
Trampoline Gymnastics;Men;DONG Dong;SILVER
Trampoline Gymnastics;Women;PAGE Bryony;SILVER
Triathlon;Men;BROWNLEE Jonathan;SILVER
Triathlon;Women;SPIRIG HUG Nicola;SILVER
Volleyball;Men;Italy;SILVER
Volleyball;Women;Serbia;SILVER
Water Polo;Men;Croatia;SILVER
Water Polo;Women;Italy;SILVER
Weightlifting;Men's +105kg;MINASYAN Gor;SILVER
Weightlifting;Men's 105kg;MARTIROSYAN Simon;SILVER
Weightlifting;Men's 56kg;OM Yun Chol;SILVER
Weightlifting;Men's 62kg;IRAWAN Eko Yuli;SILVER
Weightlifting;Men's 69kg;ISMAYILOV Daniyar;SILVER
Weightlifting;Men's 77kg;LYU Xiaojun;SILVER
Weightlifting;Men's 85kg;TIAN Tao;SILVER
Weightlifting;Men's 94kg;STRALTSOU Vadzim;SILVER
Weightlifting;Women's +75kg;KIM Kuk Hyang;SILVER
Weightlifting;Women's 48kg;AGUSTIANI Sri Wahyuni;SILVER
Weightlifting;Women's 53kg;DIAZ Hidilyn;SILVER
Weightlifting;Women's 58kg;SIRIKAEW Pimsiri;SILVER
Weightlifting;Women's 63kg;CHOE Hyo Sim;SILVER
Weightlifting;Women's 69kg;ZHAPPARKUL Zhazira;SILVER
Weightlifting;Women's 75kg;NAUMAVA Darya;SILVER
Wrestling;Men's Freestyle 125 kg;GHASEMI Komeil Nemat;SILVER
Wrestling;Men's Freestyle 57 kg;HIGUCHI Rei;SILVER
Wrestling;Men's Freestyle 65 kg;ASGAROV Toghrul;SILVER
Wrestling;Men's Freestyle 74 kg;GEDUEV Aniuar;SILVER
Wrestling;Men's Freestyle 86 kg;YASAR Selim;SILVER
Wrestling;Men's Freestyle 97 kg;GOZIUMOV Khetag;SILVER
Wrestling;Men's Greco-Roman 130 kg;KAYAALP Riza;SILVER
Wrestling;Men's Greco-Roman 59 kg;OTA Shinobu;SILVER
Wrestling;Men's Greco-Roman 66 kg;ARUTYUNYAN Migran;SILVER
Wrestling;Men's Greco-Roman 75 kg;MADSEN Mark Overgaard;SILVER
Wrestling;Men's Greco-Roman 85 kg;BELENIUK Zhan;SILVER
Wrestling;Men's Greco-Roman 98 kg;LUGO CABRERA Yasmany Daniel;SILVER
Wrestling;Women's Freestyle 48 kg;STADNIK Mariya;SILVER
Wrestling;Women's Freestyle 53 kg;YOSHIDA Saori;SILVER
Wrestling;Women's Freestyle 58 kg;KOBLOVA ZHOLOBOVA Valeriia;SILVER
Wrestling;Women's Freestyle 63 kg;MAMASHUK Maryia;SILVER
Wrestling;Women's Freestyle 69 kg;VOROBEVA Natalia;SILVER
Wrestling;Women's Freestyle 75 kg;MANYUROVA Guzel;SILVER
Archery;Men's Individual;ELLISON Brady;BRONZE
Archery;Men's Team;Australia;BRONZE
Archery;Women's Individual;KI Bobae;BRONZE
Archery;Women's Team;Taipei (Cn Taipei);BRONZE
Artistic Gymnastics;Men's Floor Exercise;MARIANO Arthur;BRONZE
Artistic Gymnastics;Men's Horizontal Bar;WILSON Nile;BRONZE
Artistic Gymnastics;Men's Individual All-Around;WHITLOCK Max;BRONZE
Artistic Gymnastics;Men's Parallel Bars;BELYAVSKIY David;BRONZE
Artistic Gymnastics;Men's Pommel Horse;NADDOUR Alexander;BRONZE
Artistic Gymnastics;Men's Rings;ABLIAZIN Denis;BRONZE
Artistic Gymnastics;Men's Team;China;BRONZE
Artistic Gymnastics;Men's Vault;SHIRAI Kenzo;BRONZE
Artistic Gymnastics;Women's Balance Beam;BILES Simone;BRONZE
Artistic Gymnastics;Women's Floor Exercise;TINKLER Amy;BRONZE
Artistic Gymnastics;Women's Individual All-Around;MUSTAFINA Aliya;BRONZE
Artistic Gymnastics;Women's Team;China;BRONZE
Artistic Gymnastics;Women's Uneven Bars;SCHEDER Sophie;BRONZE
Artistic Gymnastics;Women's Vault;STEINGRUBER Giulia;BRONZE
Athletics;Men's 10,000m;TOLA Tamirat;BRONZE
Athletics;Men's 100m;DE GRASSE Andre;BRONZE
Athletics;Men's 110m Hurdles;BASCOU Dimitri;BRONZE
Athletics;Men's 1500m;WILLIS Nicholas;BRONZE
Athletics;Men's 200m;LEMAITRE Christophe;BRONZE
Athletics;Men's 20km Walk;BIRD-SMITH Dane;BRONZE
Athletics;Men's 3000m Steeplechase;MEKHISSI Mahiedine;BRONZE
Athletics;Men's 4 x 100m Relay;Canada;BRONZE
Athletics;Men's 4 x 400m Relay;Bahamas;BRONZE
Athletics;Men's 400m;MERRITT Lashawn;BRONZE
Athletics;Men's 400m Hurdles;COPELLO Yasmani;BRONZE
Athletics;Men's 5000m;GEBRHIWET Hagos;BRONZE
Athletics;Men's 50km Walk;ARAI Hirooki;BRONZE
Athletics;Men's 800m;MURPHY Clayton;BRONZE
Athletics;Men's Decathlon;WARNER Damian;BRONZE
Athletics;Men's Discus Throw;JASINSKI Daniel;BRONZE
Athletics;Men's Hammer Throw;NOWICKI Wojciech;BRONZE
Athletics;Men's High Jump;BONDARENKO Bohdan;BRONZE
Athletics;Men's Javelin Throw;WALCOTT Keshorn;BRONZE
Athletics;Men's Long Jump;RUTHERFORD Greg;BRONZE
Athletics;Men's Marathon;RUPP Galen;BRONZE
Athletics;Men's Pole Vault;KENDRICKS Sam;BRONZE
Athletics;Men's Shot Put;WALSH Tomas;BRONZE
Athletics;Men's Triple Jump;DONG Bin;BRONZE
Athletics;Women's 10,000m;DIBABA Tirunesh;BRONZE
Athletics;Women's 100m;FRASER-PRYCE Shelly-Ann;BRONZE
Athletics;Women's 100m Hurdles;CASTLIN Kristi;BRONZE
Athletics;Women's 1500m;SIMPSON Jennifer;BRONZE
Athletics;Women's 200m;BOWIE Tori;BRONZE
Athletics;Women's 20km Walk;LU Xiuzhi;BRONZE
Athletics;Women's 3000m Steeplechase;COBURN Emma;BRONZE
Athletics;Women's 4 x 100m Relay;Great Britain;BRONZE
Athletics;Women's 4 x 400m Relay;Great Britain;BRONZE
Athletics;Women's 400m;JACKSON Shericka;BRONZE
Athletics;Women's 400m Hurdles;SPENCER Ashley;BRONZE
Athletics;Women's 5000m;AYANA Almaz;BRONZE
Athletics;Women's 800m;WAMBUI Margaret Nyairera;BRONZE
Athletics;Women's Discus Throw;CABALLERO Denia;BRONZE
Athletics;Women's Hammer Throw;HITCHON Sophie;BRONZE
Athletics;Women's Heptathlon;THEISEN EATON Brianne;BRONZE
Athletics;Women's High Jump;VLASIC Blanka;BRONZE
Athletics;Women's Javelin Throw;SPOTAKOVA Barbora;BRONZE
Athletics;Women's Long Jump;SPANOVIC Ivana;BRONZE
Athletics;Women's Marathon;DIBABA Mare;BRONZE
Athletics;Women's Pole Vault;MCCARTNEY Eliza;BRONZE
Athletics;Women's Shot Put;MARTON Anita;BRONZE
Athletics;Women's Triple Jump;RYPAKOVA Olga;BRONZE
Badminton;Men's Doubles;Ellis / Langridge;BRONZE
Badminton;Men's Singles;AXELSEN Viktor;BRONZE
Badminton;Mixed Doubles;Zhang / Zhao;BRONZE
Badminton;Women's Doubles;Jung / Shin;BRONZE
Badminton;Women's Singles;OKUHARA Nozomi;BRONZE
Basketball;Men;Spain;BRONZE
Basketball;Women;Serbia;BRONZE
Beach Volleyball;Men;Meeuwsen / Brouwer;BRONZE
Beach Volleyball;Women;Ross / Walsh Jennings;BRONZE
Boxing;Men's Bantam (56kg);NIKITIN Vladimir;BRONZE
Boxing;Men's Fly (52kg);FINOL Yoel Segundo;BRONZE
Boxing;Men's Heavy (91kg);TULAGANOV Rustam;BRONZE
Boxing;Men's Light (60kg);ALVAREZ Lazaro Jorge;BRONZE
Boxing;Men's Light Fly (46-49kg);HERNANDEZ Nico Miguel;BRONZE
Boxing;Men's Light Heavy (81kg);BUATSI Joshua;BRONZE
Boxing;Men's Light Welter (64kg);HARUTYUNYAN Artem;BRONZE
Boxing;Men's Middle (75kg);RODRIGUEZ Misael Uziel;BRONZE
Boxing;Men's Super Heavy (+91kg);DYCHKO Ivan;BRONZE
Boxing;Men's Welter (69kg);CISSOKHO Souleymane Diop;BRONZE
Boxing;Women's Fly (48-51kg);VALENCIA VICTORIA Ingrit Lorena;BRONZE
Boxing;Women's Light (57-60kg);BELIAKOVA Anastasiia;BRONZE
Boxing;Women's Middle (69-75kg);LI Qian;BRONZE
Canoe Slalom;Canoe Double (C2) Men;Peche / Klauss;BRONZE
Canoe Slalom;Canoe Single (C1) Men;HANEDA Takuya;BRONZE
Canoe Slalom;Kayak (K1) Men;PRSKAVEC Jiri;BRONZE
Canoe Slalom;Kayak (K1) Women;FOX Jessica;BRONZE
Canoe Sprint;Men's Canoe Double 1000m;Ianchuk / Mishchuk;BRONZE
Canoe Sprint;Men's Canoe Single 1000m;TARNOVSCHI Serghei;BRONZE
Canoe Sprint;Men's Canoe Single 200m;QUEIROZ DOS SANTOS Isaquias;BRONZE
Canoe Sprint;Men's Kayak Double 1000m;Tame / Wallace;BRONZE
Canoe Sprint;Men's Kayak Double 200m;Ramanauskas / Lankas;BRONZE
Canoe Sprint;Men's Kayak Four 1000m;Czech Republic;BRONZE
Canoe Sprint;Men's Kayak Single 1000m;ANOSHKIN Roman;BRONZE
Canoe Sprint;Men's Kayak Single 200m;CRAVIOTTO Saul;BRONZE
Canoe Sprint;Women's Kayak Double 500m;Mikolajczyk / Naja;BRONZE
Canoe Sprint;Women's Kayak Four 500m;Belarus;BRONZE
Canoe Sprint;Women's Kayak Single 200m;OSIPENKO-RODOMSKA Inna;BRONZE
Canoe Sprint;Women's Kayak Single 500m;CARRINGTON Lisa;BRONZE
Cycling BMX;Men;RAMIREZ YEPES Carlos Alberto;BRONZE
Cycling BMX;Women;HERNANDEZ Stefany;BRONZE
Cycling Mountain Bike;Men's Cross-country;COLOMA NICOLAS Carlos;BRONZE
Cycling Mountain Bike;Women's Cross-country;PENDREL Catharine;BRONZE
Cycling Road;Men's Individual Time Trial;FROOME Christopher;BRONZE
Cycling Road;Men's Road Race;MAJKA Rafal;BRONZE
Cycling Road;Women's Individual Time Trial;VAN DER BREGGEN Anna;BRONZE
Cycling Road;Women's Road Race;LONGO BORGHINI Elisa;BRONZE
Cycling Track;Men's Keirin;AWANG Azizulhasni;BRONZE
Cycling Track;Men's Omnium;HANSEN Lasse Norman;BRONZE
Cycling Track;Men's Sprint;DMITRIEV Denis;BRONZE
Cycling Track;Men's Team Pursuit;Denmark;BRONZE
Cycling Track;Men's Team Sprint;France;BRONZE
Cycling Track;Women's Keirin;MEARES Anna;BRONZE
Cycling Track;Women's Omnium;D'HOORE Jolien;BRONZE
Cycling Track;Women's Sprint;MARCHANT Katy;BRONZE
Cycling Track;Women's Team Pursuit;Canada;BRONZE
Cycling Track;Women's Team Sprint;Vogel / Welte;BRONZE
Diving;Men's 10m Platform;BOUDIA David;BRONZE
Diving;Men's 3m Springboard;HAUSDING Patrick;BRONZE
Diving;Men's Synchronised 10m Platform;Daley / Goodfellow;BRONZE
Diving;Men's Synchronised 3m Springboard;Cao / Qin;BRONZE
Diving;Women's 10m Platform;BENFEITO Meaghan;BRONZE
Diving;Women's 3m Springboard;CAGNOTTO Tania;BRONZE
Diving;Women's Synchronised 10m Platform;Benfeito / Filion;BRONZE
Diving;Women's Synchronised 3m Springboard;Keeney / Smith;BRONZE
Equestrian;Dressage Individual;BRORING-SPREHE Kristina;BRONZE
Equestrian;Dressage Team;United States;BRONZE
Equestrian;Eventing Individual;DUTTON Phillip;BRONZE
Equestrian;Eventing Team;Australia;BRONZE
Equestrian;Jumping Individual;LAMAZE Eric;BRONZE
Equestrian;Jumping Team;Germany;BRONZE
Fencing;Men's Épée Individual;GRUMIER Gauthier;BRONZE
Fencing;Men's Épée Team;Hungary;BRONZE
Fencing;Men's Foil Individual;SAFIN Timur;BRONZE
Fencing;Men's Foil Team;United States;BRONZE
Fencing;Men's Sabre Individual;KIM Junghwan;BRONZE
Fencing;Women's Épée Individual;SUN Yiwen;BRONZE
Fencing;Women's Épée Team;Russian Federation;BRONZE
Fencing;Women's Foil Individual;BOUBAKRI Ines;BRONZE
Fencing;Women's Sabre Individual;KHARLAN Olga;BRONZE
Fencing;Women's Sabre Team;United States;BRONZE
Football;Men;Nigeria;BRONZE
Football;Women;Canada;BRONZE
Golf;Men's Individual Stroke Play;KUCHAR Matt;BRONZE
Golf;Women's Individual Stroke Play;FENG Shanshan;BRONZE
Handball;Men;Germany;BRONZE
Handball;Women;Norway;BRONZE
Hockey;Men;Germany;BRONZE
Hockey;Women;Germany;BRONZE
Judo;Men -100 kg;HAGA Ryunosuke;BRONZE
Judo;Men -60 kg;UROZBOEV Diyorbek;BRONZE
Judo;Men -66 kg;SOBIROV Rishod;BRONZE
Judo;Men -73 kg;VAN TICHELT Dirk;BRONZE
Judo;Men -81 kg;TOMA Sergiu;BRONZE
Judo;Men -90 kg;CHENG Xunzhao;BRONZE
Judo;Men +100 kg;SASSON Or;BRONZE
Judo;Women -48 kg;KONDO Ami;BRONZE
Judo;Women -52 kg;NAKAMURA Misato;BRONZE
Judo;Women -57 kg;MONTEIRO Telma;BRONZE
Judo;Women -63 kg;GERBI Yarden;BRONZE
Judo;Women -70 kg;CONWAY Sally;BRONZE
Judo;Women -78 kg;VELENSEK Anamari;BRONZE
Judo;Women +78 kg;YU Song;BRONZE
Marathon Swimming;Men's 10km;OLIVIER Marc-Antoine;BRONZE
Marathon Swimming;Women's 10km;OKIMOTO Poliana;BRONZE
Modern Pentathlon;Men's Individual;HERNANDEZ USCANGA Ismael Marcelo;BRONZE
Modern Pentathlon;Women's Individual;NOWACKA Oktawia;BRONZE
Rhythmic Gymnastics;Group All-Around;Bulgaria;BRONZE
Rhythmic Gymnastics;Individual All-Around;RIZATDINOVA Ganna;BRONZE
Rowing;Lightweight Men's Double Sculls;Strandli / Brun;BRONZE
Rowing;Lightweight Men's Four;France;BRONZE
Rowing;Lightweight Women's Double Sculls;Huang / Pan;BRONZE
Rowing;Men's Double Sculls;Tufte / Borch;BRONZE
Rowing;Men's Eight;Netherlands;BRONZE
Rowing;Men's Four;Italy;BRONZE
Rowing;Men's Pair;DI COSTANZO / Abagnale;BRONZE
Rowing;Men's Quadruple Sculls;Estonia;BRONZE
Rowing;Men's Single Sculls;SYNEK Ondrej;BRONZE
Rowing;Women's Double Sculls;Vistartaite / Valciukaite;BRONZE
Rowing;Women's Eight;Romania;BRONZE
Rowing;Women's Pair;Andersen / Rasmussen;BRONZE
Rowing;Women's Quadruple Sculls;Poland;BRONZE
Rowing;Women's Single Sculls;DUAN Jingli;BRONZE
Rugby Sevens;Men;South Africa;BRONZE
Rugby Sevens;Women;Canada;BRONZE
Sailing;470 Men;Mantis / Kagialis;BRONZE
Sailing;470 Women;Defrance / Lecointre;BRONZE
Sailing;49er FX Women;Salskov-Iversen / Hansen;BRONZE
Sailing;49er Men;Heil / Ploessel;BRONZE
Sailing;Finn Men;PAINE Caleb;BRONZE
Sailing;Laser Men;MEECH Sam;BRONZE
Sailing;Laser Radial Women;RINDOM Anne-Marie;BRONZE
Sailing;Nacra 17 Mixed;Frank / Zajac;BRONZE
Sailing;RS:X Men;LE COQ Pierre;BRONZE
Sailing;RS:X Women;ELFUTINA Stefaniya;BRONZE
Shooting;10m Air Pistol Men;PANG Wei;BRONZE
Shooting;10m Air Pistol Women;KORAKAKI Anna;BRONZE
Shooting;10m Air Rifle Men;MASLENNIKOV Vladimir;BRONZE
Shooting;10m Air Rifle Women;YI Siling;BRONZE
Shooting;25m Pistol Women;DIETHELM GERBER Heidi;BRONZE
Shooting;25m Rapid Fire Pistol Men;LI Yuehong;BRONZE
Shooting;50m Pistol Men;KIM Song Guk;BRONZE
Shooting;50m Rifle 3 Positions Men;RAYNAUD Alexis;BRONZE
Shooting;50m Rifle 3 Positions Women;DU Li;BRONZE
Shooting;50m Rifle Prone Men;GRIGORYAN Kirill;BRONZE
Shooting;Double Trap Men;SCOTT Steven;BRONZE
Shooting;Skeet Men;ALRASHIDI Abdullah;BRONZE
Shooting;Skeet Women;RHODE Kimberly;BRONZE
Shooting;Trap Men;LING Edward;BRONZE
Shooting;Trap Women;COGDELL Corey;BRONZE
Swimming;Men's 100m Backstroke;PLUMMER David;BRONZE
Swimming;Men's 100m Breaststroke;MILLER Cody;BRONZE
Swimming;Men's 100m Freestyle;ADRIAN Nathan;BRONZE
Swimming;Men's 1500m Freestyle;DETTI Gabriele;BRONZE
Swimming;Men's 200m Backstroke;RYLOV Evgeny;BRONZE
Swimming;Men's 200m Breaststroke;CHUPKOV Anton;BRONZE
Swimming;Men's 200m Butterfly;KENDERESI Tamas;BRONZE
Swimming;Men's 200m Freestyle;DWYER Conor;BRONZE
Swimming;Men's 200m Individual Medley;WANG Shun;BRONZE
Swimming;Men's 4 x 100m Freestyle Relay;Australia;BRONZE
Swimming;Men's 4 x 100m Medley Relay;Australia;BRONZE
Swimming;Men's 4 x 200m Freestyle Relay;Japan;BRONZE
Swimming;Men's 400m Freestyle;DETTI Gabriele;BRONZE
Swimming;Men's 400m Individual Medley;SETO Daiya;BRONZE
Swimming;Men's 50m Freestyle;ADRIAN Nathan;BRONZE
Swimming;Women's 100m Backstroke;MASSE Kylie;BRONZE
Swimming;Women's 100m Breaststroke;MEILI Catherine;BRONZE
Swimming;Women's 100m Butterfly;VOLLMER Dana;BRONZE
Swimming;Women's 100m Freestyle;SJOSTROM Sarah;BRONZE
Swimming;Women's 200m Backstroke;CALDWELL Hilary;BRONZE
Swimming;Women's 200m Breaststroke;SHI Jinglin;BRONZE
Swimming;Women's 200m Butterfly;HOSHI Natsumi;BRONZE
Swimming;Women's 200m Freestyle;MCKEON Emma;BRONZE
Swimming;Women's 200m Individual Medley;DIRADO Madeline;BRONZE
Swimming;Women's 4 x 100m Freestyle Relay;Canada;BRONZE
Swimming;Women's 4 x 100m Medley Relay;Denmark;BRONZE
Swimming;Women's 4 x 200m Freestyle Relay;Canada;BRONZE
Swimming;Women's 400m Freestyle;SMITH Leah;BRONZE
Swimming;Women's 400m Individual Medley;BELMONTE GARCIA Mireia;BRONZE
Swimming;Women's 50m Freestyle;HERASIMENIA Aliaksandra;BRONZE
Swimming;Women's 800m Freestyle;KAPAS Boglarka;BRONZE
Synchronised Swimming;Duets;Inui / Mitsui;BRONZE
Synchronised Swimming;Teams;Japan;BRONZE
Table Tennis;Men's Singles;MIZUTANI Jun;BRONZE
Table Tennis;Men's Team;Germany;BRONZE
Table Tennis;Women's Singles;KIM Song I;BRONZE
Table Tennis;Women's Team;Japan;BRONZE
Taekwondo;Men -58kg;PIE Luisito;BRONZE
Taekwondo;Men -68kg;GONZALEZ BONILLA Joel;BRONZE
Taekwondo;Men -80kg;OUESLATI Oussama;BRONZE
Taekwondo;Men +80kg;SIQUEIRA Maicon;BRONZE
Taekwondo;Women -49kg;WONGPATTANAKIT Panipak;BRONZE
Taekwondo;Women -57kg;WAHBA Hedaya;BRONZE
Taekwondo;Women -67kg;GBAGBI Ruth Marie Christelle;BRONZE
Taekwondo;Women +67kg;GALLOWAY Jackie;BRONZE
Tennis;Men's Doubles;Sock / Johnson;BRONZE
Tennis;Men's Singles;NISHIKORI Kei;BRONZE
Tennis;Mixed Doubles;Hradecka / Stepanek;BRONZE
Tennis;Women's Doubles;Safarova / Strycova;BRONZE
Tennis;Women's Singles;KVITOVA Petra;BRONZE
Trampoline Gymnastics;Men;GAO Lei;BRONZE
Trampoline Gymnastics;Women;LI Dan;BRONZE
Triathlon;Men;SCHOEMAN Henri;BRONZE
Triathlon;Women;HOLLAND Vicky;BRONZE
Volleyball;Men;United States;BRONZE
Volleyball;Women;United States;BRONZE
Water Polo;Men;Italy;BRONZE
Water Polo;Women;Russian Federation;BRONZE
Weightlifting;Men's +105kg;TURMANIDZE Irakli;BRONZE
Weightlifting;Men's 105kg;ZAICHIKOV Alexandr;BRONZE
Weightlifting;Men's 56kg;KRUAITHONG Sinphet;BRONZE
Weightlifting;Men's 62kg;KHARKI Farkhad;BRONZE
Weightlifting;Men's 69kg;MOSQUERA LOZANO Luis Javier;BRONZE
Weightlifting;Men's 77kg;MAHMOUD Mohamed;BRONZE
Weightlifting;Men's 85kg;SINCRAIAN Gabriel;BRONZE
Weightlifting;Men's 94kg;DIDZBALIS Aurimas;BRONZE
Weightlifting;Women's +75kg;ROBLES Sarah Elizabeth;BRONZE
Weightlifting;Women's 48kg;MIYAKE Hiromi;BRONZE
